*	542			
ทาง	noun	1	(1) way, route, or course for travel. (2) opportunity; chance. (3) section; part; side. (4) method; means; procedure; process.	From Proto-Southwestern Tai *daːŋᴬ² (“road; way”), from Middle Chinese 唐 (MC dɑŋ, “road inside temple”). Cognate with Northern Thai ᨴᩤ᩠ᨦ, Khün ᨴᩤ᩠ᨦ, Lao ທາງ (thāng), Lü ᦑᦱᧂ (taang), Tai Dam ꪕꪱꪉ, Shan တၢင်း (tááng), Tai Nüa ᥖᥣᥒᥰ (täang), Ahom ??? (taṅ).
ที่	clas	1	Classifier for places, locations, servings. 	From Proto-Tai *diːᴮ, possibly from Middle Chinese 地 (MC diɪᴴ). Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii¹), Shan တီႈ (tīī), Ahom ?? (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Malay di.
ที่	noun	1	(1) land; place; area; seat (booking and reservations); site; location. (2) position; office.	From Proto-Tai *diːᴮ, possibly from Middle Chinese 地 (MC diɪᴴ). Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii¹), Shan တီႈ (tīī), Ahom ?? (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Malay di.
ที่	part	1	(1) placed after an adjective to indicate that it applies particularly and specifically to its preceding noun. (2) used in the pattern “เป็น (bpen) + ที่ + verb” to make an adjective from a verb.	From Proto-Tai *diːᴮ, possibly from Middle Chinese 地 (MC diɪᴴ). Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii¹), Shan တီႈ (tīī), Ahom ?? (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Malay di.
ที่	prep	1	(1) at; to; on the site of; within; amidst; at the location of. (2) for; during; at the time of.	From Proto-Tai *diːᴮ, possibly from Middle Chinese 地 (MC diɪᴴ). Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii¹), Shan တီႈ (tīī), Ahom ?? (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Malay di.
ที่	pron	1	(1) that; which; that which; who; whom. (2) where; when.	From Proto-Tai *diːᴮ, possibly from Middle Chinese 地 (MC diɪᴴ). Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii¹), Shan တီႈ (tīī), Ahom ?? (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Malay di.
ที่"},	pref	1	(1) (creating a noun from a verb) the person who. (2) (creating a noun from a verb) an object pertaining to which; that which; an object for; for the purpose of; equipment or gear for a purpose. (3) (creating a noun from a verb) a concept or idea pertaining to which. (4) (creating a noun from a verb) a place or location pertaining to which; a place to do something. (5) (creating a noun from a verb) an event, time, duration, or occurrence pertaining to which. (6) used with cardinal numbers to create ordinals. (Compare Chinese 第.) (7) used to indicate comparisons or ordering.	From Proto-Tai *diːᴮ, possibly from Middle Chinese 地 (MC diɪᴴ). Cognate with Lao ທີ່ (thī), Northern Thai ᨴᩦ᩵, Lü ᦑᦲᧈ (tii¹), Shan တီႈ (tīī), Ahom ?? (tī), Zhuang dih. Outside Tai-Kadai: compare Proto-Mon-Khmer *tiʔ ~ tiiʔ ~ tiəʔ (“that yonder”), Mon တေံ (teʔ, “that”), Khmer ទី (tii), Vietnamese thì (“then, which, to be”). Compare Malay di.
ท่อน	noun	1	part; portion; fraction; segment	Compare Middle Chinese 段 (MC duɑnᴴ).
ท้อ	noun	2	peach.	Borrowed from Teochew 桃 (to5).
ท้าว	noun	1	(1) (archaic) chief, lord, master, leader; ruler, administrator, person in authority, person in charge; person of dignity, person of rank, exalted person; monarch, sovereign; royal person; also used as an honorific or term of address. (2) (historical) a senior rank of a king's wife or of a woman of noble birth appointed to take charge of certain administrative affairs within the royal harem. (3) (historical) man of royal or noble descent in Northeastern Thailand; also used as an honorific.	Uncertain. Compare Lao ທ້າວ (thāo, “nobleman; royal person; honorific for persons of royal and noble birth; etc”), Phake တွ် (taw); Mon ဒဴ (“nobleman; royal entourage member; courtier”).<br>Wilainan Khanittanan (2003) proposed that it is from Chinese 道 (“Short for 道士 “Taoist priest””). Compare Vietnamese đạo sĩ (“Taoist priest”), đạo (“historical village ruler in Mường area”), tạo (“historical village ruler in Thái area”), phìa tạo (“Tai hereditary rulers”), Tày tạo (“religious practitioner similar to Taoist priest”).
นาง	clas	1	(1) (somewhat archaic, now sometimes derogatory and offensive) Classifier for women. (2) (slang, humorous) Classifier for anyone or anything.	From Proto-Southwestern Tai *naːŋᴬ⁴ (“lady”), from Proto-Tai *naːŋᴬ (“lady”), from Old Chinese 娘 (OC *naŋ, “young woman”). Cognate with Northern Thai ᨶᩣ᩠ᨦ, Lao ນາງ (nāng), Lü ᦓᦱᧂ (naang), Tai Dam ꪙꪱꪉ, Shan ၼၢင်း (nááng), Tai Nüa ᥘᥣᥒᥰ (läang) or ᥢᥣᥒᥰ (näang), Aiton ꩫင် (naṅ), Ahom ??? (naṅ), Tày nàng. Cognate via Old Chinese: Old Khmer នាង (nāṅa, nāṅ°), nâ, nõ (“courtesy title for females”), Khmer នាង (niəng), Vietnamese nàng, Burmese နန်း (nan:).
นาง	noun	1	(1) (archaic, now only found in compounds) chief; lord; master. (2) (somewhat archaic, now sometimes derogatory and offensive) woman. (3) (archaic) woman in authority, as queen, mistress, lady, etc. (4) (somewhat archaic, now sometimes derogatory and offensive) used as a title for or term of address to any woman. (5) (archaic) used as a title for or term of address to a woman in authority, as a queen, mistress, or lady. (6) (archaic, sometimes derogatory and offensive) used as a title for or term of address to a female commoner, subordinate woman, or woman of lower status. (7) (historical) used as a formal title for the wife of a nobleman ranking below พระยา (prá-yaa). (8) (law) a legal title which a married woman may use. (9) similar title for a married woman, as Mrs. (10) (slang, humorous) used as a title for or term of address to anyone or anything. (11) heroine; female protagonist; leading lady. (12) found in compounds, indicating the feminine gender.	From Proto-Southwestern Tai *naːŋᴬ⁴ (“lady”), from Proto-Tai *naːŋᴬ (“lady”), from Old Chinese 娘 (OC *naŋ, “young woman”). Cognate with Northern Thai ᨶᩣ᩠ᨦ, Lao ນາງ (nāng), Lü ᦓᦱᧂ (naang), Tai Dam ꪙꪱꪉ, Shan ၼၢင်း (nááng), Tai Nüa ᥘᥣᥒᥰ (läang) or ᥢᥣᥒᥰ (näang), Aiton ꩫင် (naṅ), Ahom ??? (naṅ), Tày nàng. Cognate via Old Chinese: Old Khmer នាង (nāṅa, nāṅ°), nâ, nõ (“courtesy title for females”), Khmer នាង (niəng), Vietnamese nàng, Burmese နန်း (nan:).
บะช่อ	adj	1	finely minced and sometimes flavored.	From Min Nan 肉脞 (bah-chhò, “minced meat”).
บะหมี่	noun	1	bakmi; egg noodle	From Min Nan 肉麵／肉面 (bah-mī).
บักกุ๊ดเต๋	noun	1	bak kut teh (a pork rib dish)	Borrowed from Min Nan 肉骨茶 (bah-kut-tê).
บิงซู	noun	1	shaved ice dessert with full of toppings.	Learned borrowing from Korean 빙수 (bingsu) (Hanja: 氷水), from Chinese 冰水 (bīngshuǐ).
บี้	adj	1	flat; crushed.	Borrowed from Teochew 癟／瘪 (bhit4, “flat”).
บี้	verb	1	to flatten; to crush.	Borrowed from Teochew 癟／瘪 (bhit4, “flat”).
บ่มิไก๊	adj	1	(1) (colloquial) nothing (2) (colloquial) ineffective, incompetent	From Teochew 無乜個／无乜个 (bho⁵ mih⁴ gai⁵, “nothing”).
บ้านเมือง	noun	1	country, nation, state; the public.	From บ้าน (bâan, “house; village”) + เมือง (mʉʉang, “city; town”). Cognate with Lao ບ້ານເມືອງ (bān mư̄ang), Northern Thai ᨷ᩶ᩤ᩠ᨶᨾᩮᩬᩥᨦ, Khün ᨷ᩶ᩤ᩠ᨶᨾᩮᩨ᩠ᨦ, Lü ᦢᦱᧃᧉᦵᦙᦲᧂ (ḃaan²moeng), Tai Dam ꪚ꫁ꪱꪙꪹꪣꪉ, Shan ဝၢၼ်ႈမိူင်း (wāān móéng) or မၢၼ်ႈမိူင်း (māān móéng), and Tai Nüa ᥛᥣᥢᥲᥛᥫᥒᥰ (màanmöeng). Compare the literal meaning of Chinese 國家／国家.
บ๊วย	noun	1	(1) box myrtle: the tree, Myrica esculenta Buch.–Ham. ex D. Don., of the family Myricaceae, whose fruits are edible and are also known as ส้มสา (sôm-sǎa). (2) Chinese plum: the tree, Prunus mume Siebold. et Zucc., of the family Rosaceae, whose fruits are edible and can be pickled. (3) the fruit of either of these trees.	From Teochew 梅 (bhuê5, “Chinese plum”).
บ๊วย	adj	2	(1) hindmost; rearmost. (2) worst; most unsatisfactory.	From Teochew 尾 (bhuê2, “tail; end; last”).
บ๊ะจ่าง	noun	1	zongzi.	Borrowed from Min Nan 肉粽 (bah-chàng).
ปลั่ง	adj	1	bright; shiny; radiant.	Compare Proto-Mon-Khmer *plaaŋʔ (“to shine”), Old Chinese 陽 (OC *laŋ, “sun”).
ปวยเล้ง	noun	1	spinach.	From Teochew 菠薐 (buê1 lêng5).
ปอก	verb	1	To peel.	From Proto-Tai *poːkᴰ (“to peel”), from Middle Chinese 剝 (MC pˠʌk̚, “to peel”). Cognate with Lao ປອກ (pǭk), Lü ᦔᦸᧅᧈ (ṗoak¹), Shan ပွၵ်ႇ (pàùk).
ปอด	adj	1	(slang) Clipping of ปอดแหก.	From Proto-Tai *pwɤtᴰ (“lung”), from Old Chinese 肺 (OC *pʰobs, “lung”), from Proto-Sino-Tibetan *p-wap (“lung”). Cognate with Lao ປອດ (pǭt), Shan ပွတ်ႇ (pàùt), Phake ပွတ် (pot), Ahom *???? (*pot), Zhuang bwt.
ปอด	noun	1	(anatomy) lung.	From Proto-Tai *pwɤtᴰ (“lung”), from Old Chinese 肺 (OC *pʰobs, “lung”), from Proto-Sino-Tibetan *p-wap (“lung”). Cognate with Lao ປອດ (pǭt), Shan ပွတ်ႇ (pàùt), Phake ပွတ် (pot), Ahom *???? (*pot), Zhuang bwt.
ปักกิ่ง	name	1	Beijing (a direct-administered municipality, the capital city of China)	Learned borrowing from Cantonese 北京 (bak1 ging1).
ปังตอ	noun	1	(มีด~) cleaver.	From Teochew 方刀 (bang1 do1). Cognate with Lao ປັງຕໍ (pang tǭ), Khmer ប៉័ងតោ (pangtao).
ปัน	verb	1	To share, divide into shares.	From Proto-Tai *panᴬ (“to divide”). Cognate with Northern Thai ᨸᩢ᩠ᨶ, Lao ປັນ (pan), Shan ပၼ် (pǎn). Compare Middle Chinese 分 (MC pɨun, bɨunᴴ, “to divide, distribute”), 頒 (MC bɨun, pˠan, “to compare, bestow”), 朌 (MC bɨun, pˠan, “to distribute”).
ปั่ว	noun	1	(1) (archaic) citizen. (2) (archaic) man.	Compare Middle Chinese 甫 (MC pɨo^X) (whence ผู้ (pûu)) or 夫 (MC pɨo) (whence ผัว (pǔua)).
ปั้น	noun	1	earthen teapot.	Possibly from Chinese 盆 (pén).
ปาก	num	2	(archaic) hundred.	From Middle Chinese 百 (MC pˠæk̚). Cognate with Lao ປາກ (pāk); Lü ᦔᦱᧅ (ṗaak); Shan ပၢၵ်ႇ (pààk); Zhuang bak.
ปากกา	noun	1	(1) (classifier ด้าม) pen: instrument for writing or drawing with ink or similar substance. (2) (classifier ตัว) fastener, as clothes peg.	From ปาก (bpàak, “mouth”) + กา (gaa, “crow”); literally "crow mouth". Compare Lao ປາກກາ (pāk kā), Khmer ប៉ាកកា (paakkaa).<br>Semantically, compare Chinese 鴉嘴筆／鸦嘴笔 (“ruling pen”, literally “crow-mouth pen”), Japanese 烏口 (karasuguchi, “ruling pen”, literally “crow mouth”), Korean 가막부리 (gamakburi, “ruling pen”, literally “crow mouth”), 오구 (ogu, “ruling pen”, literally “crow mouth”).
ปาท่องโก๋	noun	1	(1) white sugar sponge cake (2) youtiao, often sold in the form of paired sticks. (3) (slang, figurative) pair or couple of very close or intimate persons (as friends, lovers, etc), especially ones that often stick together.	From Cantonese 白糖糕 (baak6 tong4 gou1); originally referring to white sugar sponge cake, later also referring to youtiao which was generally sold together.
ปาหี่	noun	1	(slang and derogatory) acrobatics; jugglery; cheap trick	From Teochew 把戲／把戏 (pá-hì, “trick”)
ปิด	verb	1	(1) to close. (2) to turn off.	Compare Burmese ပိတ် (pit), Khmer បិទ (bət), Northern Khmer เบฺิ็ด, Lao ປິດ (pit), Shan ပိတ်ႉ (pḭ̂t) or Shan ပိၵ်ႉ (pḭ̂k), Old Chinese 閉 (OC *piːds, *piːd).
ปิ่นโต	noun	1	tiffin.	Uncertain. Compare Japanese 弁当 (bentō), Cantonese 便當／便当 (bin6 dong1) (reborrowed from Japanese).
ปุ๋ย	noun	1	fertilizer.	From Teochew 肥 (bui5, “fat; fertile; fertilizer”). Doublet of พี (pii).
ปุ๋ยคอก	noun	1	manure.	Calque of Chinese 廄肥／厩肥 (jiùféi). Same as ปุ๋ย (bpǔi, “fertilizer”) + คอก (kɔ̂ɔk, “stable”).
ป่าว	verb	1	To announce, to summon.	From Proto-Tai *paːwᴮ (“to announce”), from Middle Chinese 報 (MC pɑuᴴ, “to announce”). Cognate with Lao ປ່າວ (pāo), Shan ပၢဝ်ႇ (pààò).
ป้าย	noun	1	sign, banner, label.	Compare Middle Chinese 牌 (MC bˠɛ, bˠɛi). Cognate with Lao ປ້າຍ (pāi).
ผลึก	noun	1	crystal.	Borrowed from Pali phalika, phalikā (“crystal; quartz”); compare Sanskrit स्फटिक (sphaṭika, “crystal; quartz”). Cognate with Lao ຜະລຶກ (pha lưk), ຜະລິກະ (pha li ka), Khmer ផលិក (phɑɑphɑlək), Chinese 玻璃 (bōli, “glass”).
ผัน	verb	1	(1) (transitive) to change; to alter; to transform (2) (transitive, grammar) to inflect	Possibly from Old Chinese 翻 (OC *pʰan) or 番 (OC *pʰan). Likely a Doublet of ผวน (pǔuan, “to turn around, to reverse”). Cognate with Lao ຜັນ (phan).
ผัว	noun	1	(informal) husband.	From Proto-Southwestern Tai *pʰuəᴬ (“husband”), from Middle Chinese 夫 (MC pɨo). Cognate with Lao ຜົວ (phūa), Lü ᦷᦕ (ṗho), Northern Thai ᨹ᩠ᩅᩫ, Khün ᨹ᩠ᩅᩫ, Shan ၽူဝ် (phǒ).
ผิว	noun	1	(1) skin. (2) complexion.	From Middle Chinese 膚 (MC pɨo, “skin”). Cognate with Northern Thai ᨹᩥ᩠ᩅ, Lao ຜິວ (phiu), Shan ၽိဝ် (phǐǒ).
ผีอำ	noun	1	(1) situation in which a ghost, spirit, etc, visits someone during his or her sleep and disturbs him or her, as by sitting on, dragging, assaulting, or suffocating him or her. (2) (medicine) sleep paralysis. (3) (figurative) daymare, nightmare; night terror; sleep hallucination.	From ผี (pǐi, “ghost”) + อำ (am, “to visit someone during his or her sleep and disturb him or her, as by sitting on, dragging, assaulting, or suffocating him or her”). Compare Lao ຜີອຳ (phī ʼam). Also compare Chinese 鬼壓床／鬼压床 (guǐyāchuáng).
ผึ้ง	noun	1	bee.	From Proto-Southwestern Tai *pʰɤŋꟲ (“bee; beeswax”), from Middle Chinese 蜂 (MC pʰɨoŋ, “bee; wasp”). Cognate with Lao ເຜິ້ງ (phœng) or ເຜີ້ງ (phœ̄ng), Lü ᦕᦹᧂᧉ (ṗhueng²), Shan ၽိုင်ႈ (phūēng), Tai Nüa ᥚᥪᥒᥲ (phùeng), Tai Dam ꪹꪠꪷ꫁ꪉ, Ahom ????? (phüṅ).
ผู้	adj	1	male.	From Proto-Southwestern Tai *pʰuːꟲ (“person”), from Middle Chinese 甫 (MC pɨo^X). Cognate with Lao ຜູ້ (phū), Lü ᦕᦴᧉ (ṗhuu²), Tai Dam ꪠꪴ꫁, Tai Nüa ᥚᥧᥲ (phù), Shan ၽူႈ (phūū), Ahom ?? (phū), Zhuang boux.
ผู้	noun	1	person; people.	From Proto-Southwestern Tai *pʰuːꟲ (“person”), from Middle Chinese 甫 (MC pɨo^X). Cognate with Lao ຜູ້ (phū), Lü ᦕᦴᧉ (ṗhuu²), Tai Dam ꪠꪴ꫁, Tai Nüa ᥚᥧᥲ (phù), Shan ၽူႈ (phūū), Ahom ?? (phū), Zhuang boux.
ผู้	pron	1	(formal) those; those who.	From Proto-Southwestern Tai *pʰuːꟲ (“person”), from Middle Chinese 甫 (MC pɨo^X). Cognate with Lao ຜູ້ (phū), Lü ᦕᦴᧉ (ṗhuu²), Tai Dam ꪠꪴ꫁, Tai Nüa ᥚᥧᥲ (phù), Shan ၽူႈ (phūū), Ahom ?? (phū), Zhuang boux.
ผู้ใหญ่	adj	1	(1) adult; mature. (2) high, senior, or superior (in rank, authority, or dignity); high-ranking.	From ผู้ (pûu, “person”) + ใหญ่ (yài, “great; big”). Compare Chinese 大人 (dàrén).
ผู้ใหญ่	noun	1	(1) elder. (2) person over 18 years of age. (3) (biology) adult person; mature person. (4) (colloquial) person of high rank, authority, or dignity; superior; commander.	From ผู้ (pûu, “person”) + ใหญ่ (yài, “great; big”). Compare Chinese 大人 (dàrén).
ผ่า	verb	1	to split or divide, especially with a knife or axe.	From Middle Chinese 破 (MC pʰuɑᴴ, “to break; to cut open”).<br>Cognate with Northern Thai ᨹ᩵ᩣ, Lao ຜ່າ (phā), Shan ၽႃႇ (phàà), Tai Nüa ᥚᥣᥱ (phǎa).
ผ้า	noun	1	cloth.	From Proto-Southwestern Tai *pʰaːꟲ¹, from Old Chinese 布 (OC *paːs, “cloth”). Cognate with Northern Thai ᨹ᩶ᩣ, Lao ຜ້າ (phā), Lü ᦕᦱᧉ (ṗhaa²), Tai Dam ꪠ꫁ꪱ, Shan ၽႃႈ (phāā), Tai Nüa ᥚᥣᥲ (phàa), Aiton ၸႃ (phā), Khamti ၸႃႛ, Ahom ?? (pha), ?? (phā), ??? (phoa), or ??? (phoā).
ฝุ่น	noun	1	powder, dust.	From Middle Chinese 粉 (MC pɨun^X). Cognate with Northern Thai ᨺᩩ᩵ᩁ, Lao ຝຸ່ນ (fun), Khün ᨺᩩ᩵ᩁ, Tai Dam ꪄꪴ꪿ꪙ, Shan ၽုၼ်ႇ (phùn), Burmese ဖုန် (hpun).
พระคุณ	noun	1	(1) (very formal) favour; kindness. (2) (humble and archaic) a title for or term of address to a man of rank or in authority, as a nobleman, public officer, etc. (3) (humble) a title for or term of address to a priest.	พระ (prá, “honorific”, literally “divine; excellent; holy; sacred; etc”) + คุณ (kun, “excellence, goodness; favour, kindness; morality, virtue; etc”). Compare Chinese 圣恩; Khmer ព្រះគុណ (prĕəhkun).
พระเจ้าหลวง	noun	1	retired monarch; monarch who abdicates in favour of his or her successor.	From พระเจ้า (prá-jâao) + หลวง (lǔuang). Compare Chinese 太上皇.
พร้อม	adj	1	ready; prepared; set.	From Old Chinese 凡 (OC *bom, “all”). Cognate with Northern Thai ᨻᩕ᩶ᩬᨾ, Lao ພ້ອມ (phǭm), Khün ᨽ᩶ᩬᨾ, Lü ᦘᦸᧄᧉ (phoam²), Shan ၽွမ်ႉ (phâ̰ṵ̂m), Ahom ??? (phoṃ, “all”).
พร้อม	adv	1	(1) together. (2) simultaneously.	From Old Chinese 凡 (OC *bom, “all”). Cognate with Northern Thai ᨻᩕ᩶ᩬᨾ, Lao ພ້ອມ (phǭm), Khün ᨽ᩶ᩬᨾ, Lü ᦘᦸᧄᧉ (phoam²), Shan ၽွမ်ႉ (phâ̰ṵ̂m), Ahom ??? (phoṃ, “all”).
พัก	clas	1	Classifier for an interval or period of time.	From Proto-Tai *bakᴰ (“to rest”). Cognate with Lao ພັກ (phak), Lü ᦗᧅ (pak) or ᦘᧅ (phak), Zhuang baeg (“to be tired; to gasp”). Compare Khmer ភ័ក (phĕək) and Old Chinese 泊 (OC *baːɡ).
พัก	verb	1	to rest; to stay over.	From Proto-Tai *bakᴰ (“to rest”). Cognate with Lao ພັກ (phak), Lü ᦗᧅ (pak) or ᦘᧅ (phak), Zhuang baeg (“to be tired; to gasp”). Compare Khmer ភ័ក (phĕək) and Old Chinese 泊 (OC *baːɡ).
พัน	verb	2	to bind; to tie round	From Middle Chinese 翻 (MC pʰʉɐn). Cognate with Lao ພັນ (phan), Lü ᦗᧃ (pan), Shan ပၼ်း (pán).
พาน	noun	1	phan, an ornamental tray used for containing sacred things.	From Old Chinese 盤 (OC *baːn, “tray”). Cognate with Lao ພານ (phān), Tai Dam ꪝꪱꪙ or ꪟꪱꪙ, Burmese ဗန်း (ban:, “tray”), Shan ပၢၼ်ႉ (pâ̰â̰n, “tray”), and possibly Khmer ពាន (piən) (Pou and Jenner, 1980-1981).
พินอิน	noun	1	Pinyin.	From Mandarin 拼音 (pīnyīn).
พี	adj	1	fat.	From Proto-Tai *bwiːᴬ (“fat”), from Chinese 肥 (MC bʉi, “fat”). Cognate with Lao ພີ (phī), Lü ᦗᦲ (pii), Shan ပီး (píí), Ahom ?? (pī), Zhuang biz. Doublet of ปุ๋ย (bpǔi).
พี	noun	1	fat.	From Proto-Tai *bwiːᴬ (“fat”), from Chinese 肥 (MC bʉi, “fat”). Cognate with Lao ພີ (phī), Lü ᦗᦲ (pii), Shan ပီး (píí), Ahom ?? (pī), Zhuang biz. Doublet of ปุ๋ย (bpǔi).
พื้น	noun	1	(1) floor (lower part of a room); ground. (2) foundation; basis.	From Middle Chinese 本 (MC puən^X, “origin, foundation”). Cognate with Lao ພື້ນ (phư̄n), Northern Thai ᨻᩨ᩠᩶ᨶ, Lü ᦗᦹᧃᧉ (puen²), Shan ပိုၼ်ႉ (pṵ̂ḛ̂n), Phake ပိုꩫ် (pün), Ahom ????? (pün).
พ่อ	noun	1	(1) male parent, father-in-law, or person regarded as a male parent. (2) (chiefly in combination or as modifier) male parent of an animal. (3) male head, lord, leader, or master; man in charge; man in authority. (4) used as a term of address to or title for a male parent, father-in-law, or person regarded as a male parent, and used by such person to refer to oneself. (5) (Christianity) (คุณ~) used as a respectful term of address to or title for a male priest. (6) used as a familiar or affectionate term of address to or title for a young or younger man. (7) used as a term of address to or title for any man. (8) used as a modifier to indicate masculinity.	From Proto-Tai *boːᴮ (“father”).<br>Cognate with Northern Thai ᨻᩬᩴ᩵, Southern Thai ผอ, Lao ພໍ່ (phǭ), Lü ᦗᦸᧈ (poa¹), Shan ပေႃႈ (pāū), Tai Nüa ᥙᥨᥝ (pow), Aiton ပေႃ (pō), Ahom ??? (pō) or ???? (pwō), Zhuang boh, Bouyei boh, Saek ผ้อ.<br>Compare Middle Chinese 父 (MC pɨo^X, bɨo^X, “father”), Old Chinese 父 (OC *paʔ, *baʔ, “father”).
พ่าย	verb	1	(1) To lose. (2) To escape.	From Middle Chinese 敗 (MC bˠaiᴴ, pˠaiᴴ, “to be defeated”). Cognate with Lao ພ່າຍ (phāi), Shan ပၢႆႈ (pāāī).
ฟู	verb	1	(1) to rise; to swell. (2) (archaic) to float (on the water).	From Proto-Tai *wuːᴬ (“to float”), from Middle Chinese 浮 (MC bɨu, “to float”). Cognate with Northern Thai ᨼᩪ, Khün ᨼᩪ, Isan ฟู, Lao ຟູ (fū), Lü ᦝᦴ (fuu), Shan ၽူး (phúú) or ၾူး (fúú), Ahom ?? (phū), Zhuang fouz, Bouyei fux.
ภู	noun	2	(1) mound. (2) mountain; hill.	From Old Chinese 阜 (OC *buʔ). Cognate with Lao ພູ (phū).
มณฑลไท่กั๋ว	pron	1	(slang, humorous, sarcastic, derogatory) Thailand (as a province of China).	From Thai มณฑล (mon-ton, “province”) + Chinese 泰國／泰国 (Tàiguó, “Thailand”); literally, "Thailand Province" or "Province of Thailand", referring to Thailand as a province of China; originated from the fact that the Thai government actively supports China as if Thailand were part of China; earliest use attested around 2017.
มดยอบ	noun	1	myrrh.	From a dialect of Chinese 沒藥／没药 (mòyào).
มอง	verb	1	(1) to watch. (2) to look.	From Middle Chinese 望 (MC mʉɐŋ, mʉɐŋᴴ). Cognate with Isan เบิ่ง, Lao ເບິ່ງ (bœng) and ມອງ (mǭng), Lü ᦙᦸᧂ (moang), Tai Dam ꪹꪚꪷ꪿ꪉ, Shan မွင်း (máúng), Tai Nüa ᥛᥩᥒᥰ (möang), Tày mu̱ng.
มะเขือ	noun	1	eggplant, aubergine.	From elision of หมากเขือ. เขือ (kʉ̌ʉa) is ultimately from Middle Chinese 茄 (MC ɡɨɑ, “eggplant; aubergine”). Cognate with Lao ໝາກເຂືອ (māk khư̄a), Shan မၢၵ်ႇၶိူဝ် (mààk khǒě).
มิด	adv	1	tightly; completely	From Middle Chinese 密 (MC mˠiɪt̚). Compare Vietnamese mít and mịt.
มิ่ง	noun	1	something that is auspicious.	From Middle Chinese 命 (MC mˠiæŋᴴ, “life, fate, destiny”). Cognate with Lao ມິ່ງ (ming, “fate, destiny, auspicious thing”), Shan မိင်ႈ (mīng, “fate, destiny”), Ahom ???? (miṅ, “fate, destiny”), Sui mingh (“fate”).<br>Sathiankoset surmised that this word used to mean "life" but was displaced by ชีวิต (chii-wít) and then by สิริ (sì-rì).
มืด	adj	1	dark.	From Proto-Tai *mɯːtᴰ, from Old Chinese 昧 (OC *mɯːds). Cognate with Lao ມືດ (mư̄t), Tai Dam ꪣꪳꪒ.
ม่อง	verb	1	(colloquial, humorous) to die.	From Cantonese 亡 (mong4).
ม้า	name	1	(astronomy) (classifier ดวง) (ดาว~) Beta Arietis.	From Proto-Tai *maːꟲ (“horse”), from Middle Chinese 馬 (MC mˠa^X). Cognate with Northern Thai ᨾ᩶ᩣ, Lao ມ້າ (mā), Lü ᦙᦱᧉ (maa²), Tai Nüa ᥛᥣᥳ (mȧa), Shan မႃႉ (mâ̰â̰), Ahom ?? (ma), ?? (mā) or ??? (māa), Zhuang max. Compare Proto-Be *maʔᴰ². Doublet of เบ๊ (bée).
ม้า	noun	1	(1) (classifier ตัว in general or ม้า for government-registered ones) horse: the mammal Equus caballus of the family Equidae. (2) (classifier ตัว) (ปู~) any of various crabs of the genus Portunus, the family Portunidae. (3) (classifier ตัว) (ปลา~) Boeseman croaker: the fish Boesemania microlepis of the family Sciaenidae. (4) (classifier ตัว) seat with legs. (5) (chess) (classifier ตัว) knight. (6) (colloquial) Clipping of หน้าม้า (nâa-máa, “hair fringe”). (7) (slang) (classifier เม็ด) Clipping of ยาม้า (yaa-máa, “ya ma, a type of addictive drug”).	From Proto-Tai *maːꟲ (“horse”), from Middle Chinese 馬 (MC mˠa^X). Cognate with Northern Thai ᨾ᩶ᩣ, Lao ມ້າ (mā), Lü ᦙᦱᧉ (maa²), Tai Nüa ᥛᥣᥳ (mȧa), Shan မႃႉ (mâ̰â̰), Ahom ?? (ma), ?? (mā) or ??? (māa), Zhuang max. Compare Proto-Be *maʔᴰ². Doublet of เบ๊ (bée).
ม้ามืด	noun	1	(idiomatic, slang, figurative) dark horse.	ม้า (máa, “horse”) + มืด (mʉ̂ʉt, “dark”). Compare Chinese 黑馬／黑马 (hēimǎ).
