*	5251			
บัดกรี	verb	1	to weld.	Compare Malay pateri.
บัดซบ	adj	1	(vulgar, derogatory, very offensive) bad, poor, ill, low; disagreeable, despicable, contemptible, disgusting.	Uncertain. Possibly from Khmer បាត់ (bat, “to be ruined; to be lost; etc”) + Khmer សាប់ (sap, “to curse or blame frequently”) or សព្វ (sɑp, “all; completely; entirely; etc”).
บัดซบ	adv	1	(vulgar, derogatory, very offensive, used to describe a negative condition, as stupidity, wickedness, etc) very; completely; absolutely.	Uncertain. Possibly from Khmer បាត់ (bat, “to be ruined; to be lost; etc”) + Khmer សាប់ (sap, “to curse or blame frequently”) or សព្វ (sɑp, “all; completely; entirely; etc”).
บัดซบ	intj	1	(vulgar, derogatory, very offensive) used to express contempt, disgust, or frustration.	Uncertain. Possibly from Khmer បាត់ (bat, “to be ruined; to be lost; etc”) + Khmer សាប់ (sap, “to curse or blame frequently”) or សព្វ (sɑp, “all; completely; entirely; etc”).
บัดสี	adj	1	shameful; disgraceful.	From Khmer បាត់ (bat) + ស្រី (srəy), from Sanskrit श्री (śrī).
บัตร	noun	1	(1) card. (2) ticket; coupon; ballot.	From Sanskrit पत्र (patra, “card”). Compare Lao ບັດ (bat).
บัตเตอร์สกอตช์	noun	1	butterscotch.	From English butterscotch.
บันจีจัมพ์	noun	1	bungee jumping.	From English bungee jump.
บันจูล	name	1	Banjul (the capital city of the Gambia)	From English Banjul.
บันดาร์เซอรีเบอกาวัน	name	1	Bandar Seri Begawan (the capital city of Brunei)	From Malay Bandar Seri Begawan.
บันดาล	verb	1	(especially by supernatural power or as an emotional effect) to bring about; to cause; to create; to give rise (to); to engender; to make; to produce.	From Old Khmer pantāla, pānatāla (“to scatter, to spread; to enlarge, to expand; to develop; to bring about, to cause, to engender, to produce; etc”). Cognate with Modern Khmer បណ្ដាល (bɑɑbɑndaal).
บันทึก	noun	1	record (in whatever form or medium).	From Old Khmer ផ្ទិក៑ (phdik, “to lessen; to reduce; to shorten”).
บันทึก	verb	1	(1) (archaic) to lessen; to reduce; to shorten. (2) to record (in whatever form or medium). (3) (computing) to save.	From Old Khmer ផ្ទិក៑ (phdik, “to lessen; to reduce; to shorten”).
บัลลังก์	noun	1	(1) seat occupied by a sovereign or other exalted personage; the office or dignity of such person. (2) (figurative) any dignified seat, especially of a person in authority or person holding first place in competition; the office or dignity of such person. (3) bench: seat occupied by a judicial officer; the office or dignity of a judicial officer; the judicial officer himself. (4) (architecture) harmika.	From Pali pallaṅka (“couch; sofa”); probably via Old Khmer °pallaṅa, pālaṃṅa (“throne”). Compare Lao ບັນລັງ (ban lang), Modern Khmer បល្លង្ក (pallang), បល្ល័ង្ក (pallang); Sanskrit पल्यङ्क (palyaṅka), पर्यङ्क (paryaṅka).
บัลลังก์	verb	1	to sit cross-legged.	From Pali pallaṅka (“couch; sofa”); probably via Old Khmer °pallaṅa, pālaṃṅa (“throne”). Compare Lao ບັນລັງ (ban lang), Modern Khmer បល្លង្ក (pallang), បល្ល័ង្ក (pallang); Sanskrit पल्यङ्क (palyaṅka), पर्यङ्क (paryaṅka).
บัลลาด	noun	1	ballad.	From English ballad.
บัลลาสต์	noun	1	ballast (electric/electronic device).	From English ballast.
บัลเลต์	noun	1	ballet.	Borrowed from French ballet.
บัลแกเรีย	name	1	Bulgaria (a country in Europe)	From English Bulgaria.
บัว	noun	1	(1) the genus Nelumbo, the family Nelumbonaceae; (2) the genus Nymphaea, the family Nymphaeaceae; (3) the genus Victoria, the family Nymphaeaceae. (4) (Thai architecture) a lotus-petal shape used to decorate a floor, pillar, or wall. (5) (carpentry) a type of plane (woodworking instrument). (6) a reliquary built in the shape of a lotus. (7) anything having lotus-like appearance, as โคมบัว (“lotus lamp”), etc.	Cognate with Lao ບົວ (būa), Lü ᦷᦢ (ḃo), Tai Dam ꪚꪺ, Shan မူဝ် (mǒ), ဝူဝ် (wǒ), Phake မုဝ် (muw), Ahom ?? (bū).
บัวโนสไอเรส	name	1	Buenos Aires (the capital city of Argentina)	From English Buenos Aires.
บัส	noun	1	bus.	From English bus.
บั้ง	noun	2	(especially of bamboo, now dialect) cylinder; pipe; tube.	Compare Lao ບັ້ງ (bang), Lü ᦢᧂᧉ (ḃang²), Zhuang mbaengq.
บากู	name	1	Baku (the capital city of Azerbaijan)	From English Baku.
บาง	noun	1	(1) narrow or small watercourse. (2) community or polity located near such watercourse or at the place used to be such watercourse. (3) (slang, chiefly in combination) collectivity; entirety.	Compare Khmer បាង (baang, “bay; gulf”), Mon ပါၚ် (“mouth; opening”).
บาง	adj	2	light; thin.	From Proto-Tai *C̥.baːŋᴬ (“thin (not thick)”). Cognate with Lao ບາງ (bāng), Shan မၢင် (mǎǎng) or ဝၢင် (wǎǎng), Tai Nüa ᥛᥣᥒ (maang), Ahom ??? (baṅ), Zhuang mbang. Compare Sui qbaangl, Southern Kam mangl and Proto-Be *viaŋᴬ¹ (“thin (not thick)”) (> ɓiaŋ¹~viaŋ¹ across the different lects).
บาง	adj	3	certain; some; not all.	Cognate with Lao ບາງ (bāng), Shan မၢင် (mǎǎng), Tai Nüa ᥛᥣᥒ (maang), Ahom ??? (baṅ).
บาดาล	name	1	(Buddhist and Hindu cosmology) Pātāla, the subterranean realm where the nāgas live.	From Pali pātāla (“hell; underworld”); ultimately from Sanskrit पाताल (pātāla, “idem”). Cognate with Modern Khmer បាតាល (baataal).
บาดาล	noun	1	(1) (mythology) the world underseas, as merworld. (2) (biblical) sea; ocean. (3) (biblical) hell; underworld. (4) (geology) underground: regions beneath the earth surface.	From Pali pātāla (“hell; underworld”); ultimately from Sanskrit पाताल (pātāla, “idem”). Cognate with Modern Khmer បាតាល (baataal).
บาตร	noun	1	(1) (Buddhism) priest's alms bowl. (2) (elegant) pot.	From Sanskrit पात्र (pātra, “pot”).
บาท	noun	1	(Christianity, now only in combination) priest.	Possibly from Latin patre, pater (“father”); Portuguese padre (“father”); or Spanish padre (“father”).
บาท	noun	2	(1) (anatomy, elegant) (classifer ข้าง or คู่) foot. (2) (พระ~) an honorific for or term of address to a god, high priest, or royal person, also applicable to his or her representation, as an image, statue, etc.	From Pali pāda (“foot”) or Sanskrit पाद (pāda, “foot”); perhaps via Old Khmer pāda, pādda, pada, padda (“foot (as body organ, or as emblematic of sacred persons or things)”). Cognate with Modern Khmer បាទ (baat).
บาท	noun	3	(1) baht: a Thai unit of currency, equal to 4 สลึง (sà-lʉ̌ng). Abbreviation: บ. (bɔɔ.) (2) a Thai unit of poem: line, stanza, verse. (3) a Thai unit of weight, equal to 15 grams. (4) (historical) a Thai unit of time, equal to one tenth of an hour, that is, 6 minutes.	From Sanskrit पाद (pāda, “quarter”); perhaps via Old Khmer pāda, pādda, pada, padda (“quarter: unit of currency or measure”). Cognate with Modern Khmer បាទ (baat).
บาทา	noun	1	(elegant, chiefly poetic, sometimes humorous) Alternative form of บาท (bàat, “foot; feet”)	From extension of บาท (bàat, “foot; feet”); ultimately from Pali pāda (“idem”) or Sanskrit पाद (pāda, “idem”).
บาน	noun	1	drink; beverage.	From Sanskrit पान (pāna, “drinking; drink; beverage in general”) or Pali pāna (“drink”). Cognate with Khmer បាន (baan), Lao ປານະ (pā na).
บาน	verb	3	(archaic) to get; to obtain.	From Khmer បាន (baan, “to get; to obtain; to be able to”).
บาบิโลน	name	1	(กรุง~, เมือง~) Babylon	From English Babylon.
บาบูน	noun	1	(ลิง~) baboon.	From English baboon.
บาป	adj	1	bad; evil (person)	From Sanskrit पाप (pāpa, “sin”) or Pali pāpa (“sin”). Compare Lao ບາບ (bāp), Lü ᦢᦱᧇ (ḃaab).
บาป	noun	1	(1) sin (2) badness; evilness	From Sanskrit पाप (pāpa, “sin”) or Pali pāpa (“sin”). Compare Lao ບາບ (bāp), Lü ᦢᦱᧇ (ḃaab).
บาย	noun	1	rice.	From Khmer បាយ (bay, “rice”).
บาย	verb	2	(colloquial) to withdraw from a competition.	From English bye (“phantom opponent”).
บาย	intj	3	(childish) bye.	From English bye (“farewell; to farewell”).
บาย	verb	3	(1) (colloquial, childish) to say goodbye. (2) (colloquial) to not involve in some situation.	From English bye (“farewell; to farewell”).
บายศรี	noun	1	multitiered container made of banana leaves containing cooked rice and others as spiritual offerings, often having a boiled egg at the summit, used during a well-wishing ceremony.	บาย (baai, “rice”) + ศรี (sǐi, “auspice; glory; prosperity; splendour; etc”); literally "rice of auspices". Compare Khmer បាយស្រី (baaysrəy).
บารมี	noun	1	(1) ขันติ (kǎn-dtì, “patience”); (2) ทาน (taan, “donation”); (3) เนกขัมมะ (nêek-kǎm-má, “renunciation (of worldly life)”); (4) ปัญญา (bpan-yaa, “wisdom”); (5) เมตตา (mêet-dtaa, “compassion”); (6) วิริยะ (wí-rí-yá, “perseverance”); (7) ศีล (sǐin, “moral conduct”); (8) สัจจะ (sàt-jà, “truthfulness”); (9) อธิฏฐาน (à-tít-tǎan, “determination”); (10) อุเบกขา (ù-bèek-kǎa, “apathy”). (11) accumulated virtue; amassed merit. (12) charisma: personal quality that gives an individual influence or authority over others. (13) personal greatness; personal grandeur; personal glory; personal impressiveness. (14) moral authority; charismatic authority; charismatic influence; charismatic popularity.	From Pali pāramī (“completeness; perfection; supremacy”). Cognate with Old Khmer pārmmi, pāmmi, pāmmī, pammmiya, °pārami, °pārammī, °pārammi, °pārammiya (“completeness; perfection; supremacy”).
บารอมิเตอร์	noun	1	barometer.	From English barometer.
บาร์	noun	1	(1) bar (pressure unit). (2) bar; pub; lounge. (3) pull-up bar; gymnastic bar.	From English bar.
บาร์เบโดส	name	1	Barbados (a country in the Caribbean)	From English Barbados.
บาร์เลย์	noun	1	(ข้าว~) barley.	From English barley.
บาล	verb	1	(1) to tend; to nourish. (2) to keep; to protect. (3) to govern; to reign.	From Sanskrit पाल (pāla, “protector”).
บาสเกตบอล	noun	1	(sports) basketball.	From English basketball.
บาห์เรน	name	1	Bahrain (a country in Asia)	From English Bahrain, from Arabic الْبَحْرَيْن (al-baḥrayn, literally “the two seas”).
บาฮามาส	name	1	Bahamas (an archipelago and country in the Caribbean)	From English Bahamas.
บาแก็ต	noun	1	baguette.	From French baguette.
บำบัด	noun	1	(medicine, often used in combination) therapy; treatment.	From Old Khmer paṃpat or paṃpāt (“to cheat; to defraud; to destroy; to eliminate; to end; to finish; to ruin; etc.”). Compare Pre-Angkorian Old Khmer paṃpāt; Modern Khmer បំបាត់ (bɑmbat).
บำบัด	verb	1	to heal; to treat; to reduce; to lessen.	From Old Khmer paṃpat or paṃpāt (“to cheat; to defraud; to destroy; to eliminate; to end; to finish; to ruin; etc.”). Compare Pre-Angkorian Old Khmer paṃpāt; Modern Khmer បំបាត់ (bɑmbat).
บำราบ	verb	1	(elegant) Alternative form of ปราบ (bpràap)	From Khmer បំរាប (bɑmriəp), an extended form of ប្រាប (praap), from Old Khmer prāppa, from which Thai ปราบ (bpràap) was derived.
บำเพ็ญ	verb	1	(1) (of a good deed, charitable deed, religious deed, etc) to accomplish; to carry out; to fulfill; to perform. (2) (of a religious or spiritual attribute or quality, as merit, virtue, etc) to complete, to fill, to make full, to perfect; to accumulate, to assemble, to collect, to compile, to pile up, to store up; to build up, to develop, to grow, to increase. (3) (especially in a wholesome way) to behave; to conduct.	From Old Khmer បំពេញ (paṃbeña), បំពើញ (paṃbœña), ពម្ព្វេញ (bambveña), ពហពេង (bahabēṅa, “to complete, to fill, to make full; to accomplish, to carry out, to fulfill, to perform”). Cognate with Modern Khmer បំពេញ (bɑmpɨñ), Lao ບຳເພັນ (bam phen).
บำเรอ	verb	1	(elegant) Alternative form of เปรอ (bprəə)	From Old Khmer paṃmre, paṃreha, paṃmreha, paṃmrœha, paṃre (“application, use, employment; service, duty; charge, order, behest; servant, employee; to attend on, to serve; etc”), extended forms of pre (“to apply; to use; to make use of; to employ; etc”), from which Thai เปรอ (bprəə) was derived. Cognate with Modern Khmer បំរើ (bɑmraə).
บำเหน็จ	noun	1	(1) reward; commission; compensation; gratuity; emolument. (2) (law) compensation for services paid only once upon retirement, as opposed to บำนาญ (bam-naan, “pension”).	From Khmer បំណាច់ (bɑmnac, “commission; bonus; tip”).
บิกินี	noun	1	bikini.	From English bikini.
บิกแบง	noun	1	Big Bang.	From English Big Bang.
บิงซู	noun	1	shaved ice dessert with full of toppings.	Learned borrowing from Korean 빙수 (bingsu) (Hanja: 氷水), from Chinese 冰水 (bīngshuǐ).
บิชอป	noun	1	(1) bishop. (2) (chess) bishop.	From English bishop.
บิชเคก	name	1	Bishkek (the capital city of Kyrgyzstan)	From English Bishkek.
บิณฑบาต	verb	1	(1) (Buddhism, of a priest) to accept alms dropped into one's alms bowl. (2) (Buddhism, of a priest) to ask for alms by requesting them to be dropped into one's alms bowl. (3) (Buddhism, of a priest, figuratively) to ask (for); to call (for); to demand; to request; to beg.	From Pali piṇḍapāta (literally “dropped lump”), from piṇḍa (“lump”) + pāta (“to drop”), equivalent to Thai บิณฑ + บาต (bàat). Compare Sanskrit पिण्डपत्र (piṇḍapatra, literally “dropped lump”).
บิด	verb	1	to twist	From Proto-Tai *ɓitᴰ; cognate with Lao ບິດ (bit), Shan မိတ်း (mít), Ahom ???? (mit), Zhuang mbit. Compare Sui qbyeds, Southern Kam miuds.
บิดา	noun	1	(formal) father.	From Pali pitar (“father”), from Sanskrit पितृ (pitṛ).
บิน	verb	1	to fly.	From Proto-Tai *ɓilᴬ (“to fly”). Cognate with Lao ບິນ (bin), Northern Thai ᨷᩥ᩠ᨶ, Lü ᦢᦲᧃ (ḃiin), Shan မိၼ် (mǐn) or ဝိၼ် (wǐn), Tai Dam ꪚꪲꪙ, Ahom ???? (min), ???? (miñ) or ???? (bin), Tày bên, Zhuang mbin. Compare Proto-Be *vinᴬ¹.
บิบิมบับ	noun	1	bibimbap (Korean mixed-topping rice)	Learned borrowing from Korean 비빔밥 (bibimbap) as popular spelling.
บิล	name	1	Bill (English given name)	From English bill or Bill.
บิล	noun	1	bill; receipt; restaurant check.	From English bill or Bill.
บิสกิต	noun	1	biscuit.	From English biscuit.

บิสมาร์ก	name	1	Bismarck.	From English Bismarck.
บิ๊ก	noun	1	(slang) person in authority, person of rank; also used as a title for such person.	From English big.
บิ๊กฟุต	noun	1	(cryptozoology) Bigfoot	From English Bigfoot
บิ๊ว	verb	1	(slang) to build up (a feeling, emotion, hope, etc).	Anglicism (English build).
บีตรูต	noun	1	beetroot.	From English beetroot.
บีตา	noun	1	beta.	From English beta.
บีบ	verb	1	to squeeze.	Cognate with Lao ບີບ (bīp), Tai Dam ꪚꪲꪚ, Shan မိပ်ႇ (mìp) or ဝိပ်ႇ (wìp).
บีเวอร์	noun	1	beaver.	From English beaver.
บี้	adj	1	flat; crushed.	Borrowed from Teochew 癟／瘪 (bhit4, “flat”).
บี้	verb	1	to flatten; to crush.	Borrowed from Teochew 癟／瘪 (bhit4, “flat”).
บึง	noun	1	lake; marsh.	From Old Khmer បិង៑ (piṅ, “pond; pool”). Cognate with Modern Khmer បឹង (bəng).
บึ้ง	noun	1	(biology) tarantula.	From Khmer ពីង (piing) (as in ពីងពាង (piing piəng), រពីង (rɔɔrɔpiing), and ហុរពីង (hopiing)), from Proto-Mon-Khmer *ɓiŋ ~ *ɓiiŋ ~ *ɓiəŋ ~ *ɓuŋ ~ *ɓhiŋ ~ *ɓhiəŋ (“spider”). Cognate with Isan บึ้ง, Lao ບຶ້ງ (bưng).
บุคคล	noun	1	(1) (formal) individual; person. (2) (law) person, either natural, known as บุคคลธรรมดา (bùk-kon-tam-má-daa), or legal, known as นิติบุคคล (ní-dtì-bùk-kon).	From Pali puggala (“individual; person”). Cognate with Lao ບຸກຄົນ (buk khon), Khmer បុគ្គល (bokkŭəl). Compare Sanskrit पुद्गल (pudgala).
บุคคลธรรมดา	noun	1	(law) natural person.	From บุคคล (bùk-kon, “person”) + ธรรมดา (tam-má-daa, “natural; ordinary”); calque of English natural person; perhaps first used in the revised Book 1 of the Siamese Civil and Commercial Code, promulgated on 11 November 1925.
บุคลิก	adj	1	(elegant) individual; personal.	From Pali puggalika (“individual; personal”). Cognate with Modern Khmer បុគ្គលិក (bokkĕəʼlɨk).
บุคลิก	noun	1	(informal) Clipping of บุคลิกภาพ (bùk-ká-lík-gà-pâap).	From Pali puggalika (“individual; personal”). Cognate with Modern Khmer បុគ្គលិក (bokkĕəʼlɨk).
บุญ	noun	1	(1) delight; happiness. (2) (religion) merit. (3) (religion) favourable outcome of a good deed done in one's previous life. (4) goodness; moral excellence; virtue. (5) favour; kindness; mercy. (6) (dialect) religious ceremony or festival, especially one involving merriment or the making of merit.	From Pali puñña (“good; merit”); perhaps via Old Khmer punya, pūnya, punye, puṇa, puna, pūna, °pana (“good or pious work; act of merit; merit; ceremony, rite, service; festival”). Compare Khmer បុណ្យ (bon); Sanskrit पुण्य (puṇya); Lao ບຸນ (bun).
บุญญาธิการ	noun	1	(poetic) great act of merit.	From บุญ (bun) + อธิการ. Compare Old Khmer puññādhikāra (“operation of good works”).
บุตร	noun	1	(1) (formal) child; offspring (irrespective of the sex). (2) son	From Sanskrit पुत्र (putra, “child; son”).
บุพการี	noun	1	(formal, elegant) (law: ผู้~) ascendant, as father, mother, grandfather, grandmother, etc.	From Pali pubbakārī (literally “one who does first; one who is first to do favour”), from pubba (“first; primary; etc”) + kārī (“doer”); equivalent to Thai บุพ (bùp) + การี. Cognate with Modern Khmer បុព្វការី (bopvɔɔkaarii).
บุพเพสันนิวาส	noun	1	(Buddhism) the state of having been a loving couple in a previous life; the state of being a soulmate.	From Pali pubbesannivāsa, from pubbe (literally “past; ago; foregoing, previous”) + sannivāsa (literally “sharing the same residence; living together”), literally “previously living together” or “previous cohabitation”; equivalent to Thai บุพเพ + สันนิวาส. Cognate with Modern Khmer បុព្វេសន្និវាស (bopveihnniviəh); Lao ບຸບເພສັນນິວາດ.
บุพโพ	noun	1	(of a royal person) (พระ~) lymph; pus.	From Pali pubbo (“pus”). Cognate with Khmer បុព្វោ (boppoo).
บุฟเฟต์	noun	1	buffet (food which diners serve themselves).	From French buffet.
บุรพผลคุนี	name	1	(astronomy) Pūrva Phalgunī, the eleventh of 27 nakshatras in Hindu astronomy, corresponding to δ and θ Leonis in the Leo constellation.	From Sanskrit पूर्वफाल्गुनी (pūrvaphālgunī).
บุรพภัทรบท	name	1	(astronomy) Purva Bhadrapada, the 25th of 27 nakshatras in Hindu astronomy, corresponding to α and β Pegasi in the Pegasus constellation.	From Sanskrit पूर्वभाद्रपदा (pūrvabhādrapadā).
บุรี	noun	1	(chiefly in compounds) city; town.	From Sanskrit पुर (pura, “fortress; castle; city; town; etc.”) or Pali pura (“town; fortress; city; etc.”).
บุรุนดี	name	1	Burundi (a country in Africa)	From English Burundi.
บุรุษ	noun	1	(1) man; male (of people). (2) (grammar) grammatical person.	Borrowed from Sanskrit पुरुष (puruṣa, “man”). Cognate with Pali purisa, Khmer បុរស (borɑh), Lao ບຸຣຸດ (bu rut), ບຸລຸດ (bu lut).
บุรุษไปรษณีย์	noun	1	(dated) mailman; postman.	Calque of English postman. Same as บุรุษ (bù-rùt) + ไปรษณีย์ (bprai-sà-nii).
บุษบก	noun	1	movable castle in reduced size, used for ceremonial purposes, such as housing or carrying a sacred object.	From Sanskrit पुष्पक (puṣpaka, “flowery”); perhaps after the flying castle of the demon king Rāvaṇa in the Hindu epic Rāmāyaṇa.
บุษบา	noun	1	(poetry) flower.	Borrowed from Sanskrit पुष्प (puṣpa, “flower”).
บุษยะ	name	1	(astronomy) Pushya, the eighth of 27 nakshatras in Hindu astronomy, corresponding to the stars γ, δ and θ Cancri in Cancer.	From Sanskrit पुष्य (puṣya).
บุหงา	noun	1	(1) (elegant, poetic) flower. (2) sachet of potpourri.	From Indonesian bunga (“flower”).
บุหลัน	noun	1	(poetic) moon.	Borrowed from Malay bulan, ultimately from Proto-Austronesian *bulaN (“moon”).
บุ้ง	noun	1	caterpillar: larva of a butterfly or moth.	From Proto-Tai *C̥.boŋꟲ (“caterpillar”). Cognate with Lao ບົ້ງ (bong), Shan မူင်ႈ (mūūng) or ဝူင်ႈ (wūūng), Ahom ????? (büṅ), Zhuang mbungq (“butterfly”).
บุ๊ก	verb	1	(colloquial and very rare) to book, to reserve	From English book.
บูคาเรสต์	name	1	Bucharest (the capital city of Romania)	From English Bucharest.
บูชา	verb	1	(1) worship. (2) respect.	From Sanskrit पूजा (pūjā, “worship”) or Pali pūjā (“worship”). Compare Lao ບູຊາ (bū sā), Lü ᦢᦴᦋᦱ (ḃuutsaa), Northern Thai ᨷᩪᨩᩣ.
บูดาเปสต์	name	1	Budapest (the capital city of Hungary)	From English Budapest.
บูรพา	adj	1	former.	From Sanskrit पूर्व (pūrva). Compare Pali pubba.
บูรพา	noun	1	east.	From Sanskrit पूर्व (pūrva). Compare Pali pubba.
บูรี	noun	1	(poetic) city, town	Derived from Sanskrit पुर (pura).
บูร์กินาฟาโซ	name	1	Burkina Faso (a country in West Africa)	From English Burkina Faso.
บ่ง	verb	1	(1) to prick. (2) to refer; to mention. (3) to indicate.	From Proto-Southwestern Tai *ˀboŋᴮ¹ (“to pierce”). Cognate with Northern Thai ᨷᩫ᩠᩵ᨦ, Lao ບົ່ງ (bong), Lü ᦷᦢᧂᧈ (ḃong¹), Shan မူင်ႇ (mùùng) or ဝူင်ႇ (wùùng), Tai Nüa ᥛᥩᥒᥱ (mǒang) or ᥛᥩᥢᥱ (mǒan), Nong Zhuang mboangq.
บ่ม	verb	1	to ripen; to cure; to mature.	Cognate with Lao ບົ່ມ (bom), Shan မူမ်ႇ (mùùm), Tai Nüa ᥛᥨᥛᥱ (mǒm), Phake မုံ (muṃ), Ahom ???? (bum).
บ่มิไก๊	adj	1	(1) (colloquial) nothing (2) (colloquial) ineffective, incompetent	From Teochew 無乜個／无乜个 (bho⁵ mih⁴ gai⁵, “nothing”).
บ่อ	noun	1	A well, a hole sunk into the ground as a source of water, oil, natural gas, salt, coal or mineral.	From Proto-Tai *ɓoːᴮ. Cognate with Northern Thai ᨷᩬᩴ᩵, Lao ບໍ່ (bǭ), Shan မေႃႇ (màù) or ဝေႃႇ (wàù), Ahom ???? (beoā) or ???? (meoā), Zhuang mboq.
บ่อน	noun	2	(1) gambling house; gambling den (usually illegal). (2) (archaic) place of gathering for a social or entertaining activity.	Cognate with Isan บ่อน, Lao ບ່ອນ (bǭn), Tai Dam ꪚ꪿ꪮꪙ.
บ่า	noun	1	(1) (anatomy) shoulder (2) (colloquial) epaulet	From Proto-Tai *C̥.baːᴮ (“shoulder”).<br>Cognate with Northern Thai ᨷ᩵ᩤ, Lao ບ່າ (bā), Shan မႃႇ (màà) or ဝႃႇ (wàà), Tai Nüa ᥛᥣᥱ (mǎa), Ahom ?? (bā), Zhuang mbaq. Compare Proto-Austronesian *qabaʀa (“shoulder”).
บ่าง	noun	1	colugo.	From Proto-Southwestern Tai *ˀbaːŋᴮ¹ (“squirrel; flying squirrel”), from Proto-Tai *baːŋᴮ (“flying squirrel”). Cognate with Northern Thai ᨷ᩵ᩤ᩠ᨦ, Khün ᨷ᩵ᩤ᩠ᨦ, Lao ບ່າງ (bāng), Lü ᦢᦱᧂᧈ (ḃaang¹), Shan ဝၢင်ႇ (wààng), Tai Nüa ᥛᥣᥒᥱ (mǎang).
บ่าว	noun	1	(1) (archaic) male; young man. (2) servant or slave, regardless of sex. (3) bridegroom.	From Proto-Tai *ɓaːwᴮ (“unmarried man”). Cognate with Lao ບ່າວ (bāo), Northern Thai ᨷ᩵ᩤ᩠ᩅ, Lü ᦢᦱᧁᧈ (ḃaaw¹), Tai Dam ꪚ꪿ꪱꪫ, Shan မၢဝ်ႇ (mààò) or ဝၢဝ်ႇ (wààò), Ahom ??? (mow) or ????? (moww), Zhuang mbauq.
บ้อง	noun	1	(1) (especially of bamboo) cylinder; pipe; tube. (2) tube, especially bamboo tube, used as a container, smoking instrument, rocket tube, etc. (3) ear canal.	Probably related to บั้ง (bâng) and ปล้อง (bplɔ̂ng). Ultimately from Sanskrit भङ्ग (bhaṅga).
บ้า	adj	1	(1) mad; insane; crazy. (2) wild; frantic; frenzied. (3) wild; violent; turbulent. (4) foolish; absurd. (5) eccentric; erratic; unorthodox. (6) goofy; silly; nutty.	From Proto-Tai *ɓaːꟲ (“crazy”). Cognate with Northern Thai ᨷ᩶ᩤ, Khün ᨷ᩶ᩤ, Lao ບ້າ (bā), Lü ᦢᦱᧉ (ḃaa²), Shan မႃႈ (māā) or ဝႃႈ (wāā), Tai Nüa ᥛᥣᥲ (màa, “to be angry”), Ahom ?? (bā).
บ้า	noun	1	(ปลา~) the fish sultan barb (Leptobarbus hoevenii), of the family Cyprinidae.	From Proto-Tai *ɓaːꟲ (“crazy”). Cognate with Northern Thai ᨷ᩶ᩤ, Khün ᨷ᩶ᩤ, Lao ບ້າ (bā), Lü ᦢᦱᧉ (ḃaa²), Shan မႃႈ (māā) or ဝႃႈ (wāā), Tai Nüa ᥛᥣᥲ (màa, “to be angry”), Ahom ?? (bā).
บ้า	verb	1	to craze or be crazy (about, over, etc); to be crazed or infatuated (by).	From Proto-Tai *ɓaːꟲ (“crazy”). Cognate with Northern Thai ᨷ᩶ᩤ, Khün ᨷ᩶ᩤ, Lao ບ້າ (bā), Lü ᦢᦱᧉ (ḃaa²), Shan မႃႈ (māā) or ဝႃႈ (wāā), Tai Nüa ᥛᥣᥲ (màa, “to be angry”), Ahom ?? (bā).
บ้าน	adj	1	(1) domestic. (2) (colloquial, sometimes derogatory) ordinary; plain.	From Proto-Tai *ɓaːnꟲ (“village”).<br>Cognate with Northern Thai ᨷ᩶ᩤ᩠ᨶ, Lao ບ້ານ (bān), Lü ᦢᦱᧃᧉ (ḃaan²), Tai Dam ꪚ꫁ꪱꪙ, Shan မၢၼ်ႈ (māān) or ဝၢၼ်ႈ (wāān), Tai Nüa ᥛᥣᥢᥲ (màan), Ahom ??? (ban) or ??? (man), Zhuang mbanj. Compare Sui qbaanc.
บ้าน	noun	1	(1) place of habitation; residence. (2) family; household. (3) building for any purpose. (4) village. (5) community. (6) nation.	From Proto-Tai *ɓaːnꟲ (“village”).<br>Cognate with Northern Thai ᨷ᩶ᩤ᩠ᨶ, Lao ບ້ານ (bān), Lü ᦢᦱᧃᧉ (ḃaan²), Tai Dam ꪚ꫁ꪱꪙ, Shan မၢၼ်ႈ (māān) or ဝၢၼ်ႈ (wāān), Tai Nüa ᥛᥣᥢᥲ (màan), Ahom ??? (ban) or ??? (man), Zhuang mbanj. Compare Sui qbaanc.
บ้านเมือง	noun	1	country, nation, state; the public.	From บ้าน (bâan, “house; village”) + เมือง (mʉʉang, “city; town”). Cognate with Lao ບ້ານເມືອງ (bān mư̄ang), Northern Thai ᨷ᩶ᩤ᩠ᨶᨾᩮᩬᩥᨦ, Khün ᨷ᩶ᩤ᩠ᨶᨾᩮᩨ᩠ᨦ, Lü ᦢᦱᧃᧉᦵᦙᦲᧂ (ḃaan²moeng), Tai Dam ꪚ꫁ꪱꪙꪹꪣꪉ, Shan ဝၢၼ်ႈမိူင်း (wāān móéng) or မၢၼ်ႈမိူင်း (māān móéng), and Tai Nüa ᥛᥣᥢᥲᥛᥫᥒᥰ (màanmöeng). Compare the literal meaning of Chinese 國家／国家.
บ๊วย	noun	1	(1) box myrtle: the tree, Myrica esculenta Buch.–Ham. ex D. Don., of the family Myricaceae, whose fruits are edible and are also known as ส้มสา (sôm-sǎa). (2) Chinese plum: the tree, Prunus mume Siebold. et Zucc., of the family Rosaceae, whose fruits are edible and can be pickled. (3) the fruit of either of these trees.	From Teochew 梅 (bhuê5, “Chinese plum”).
บ๊วย	adj	2	(1) hindmost; rearmost. (2) worst; most unsatisfactory.	From Teochew 尾 (bhuê2, “tail; end; last”).
